Title,Director,Writer,imdbID,Bechdel Score,dubious,year submitted,decade,Rated,imdbVotes,imdbRating,Genre
Autour d&#39;une cabine,Émile Reynaud,N/A,15,0,0.0,2021,1890,N/A,1120,6.2,"Animation, Short"
Broken Blossoms or The Yellow Man and the Girl,D.W. Griffith,"Thomas Burke, D.W. Griffith",9968,0,0.0,2011,1910,Not Rated,10856,7.2,"Drama, Romance"
"Man from Beyond, The",Burton L. King,"Harry Houdini, Coolidge Streeter",13367,1,0.0,2011,1920,Not Rated,322,5.3,"Mystery, Sci-Fi"
Sherlock Jr.,Buster Keaton,"Jean C. Havez, Joseph A. Mitchell, Clyde Bruckman",15324,0,0.0,2011,1920,Passed,54537,8.2,"Action, Comedy, Romance"
"Thief of Bagdad, The",Raoul Walsh,"Lotta Woods, Douglas Fairbanks, Achmed Abdullah",15400,0,0.0,2010,1920,Not Rated,6762,7.7,"Adventure, Family, Fantasy"
Wild Oranges,King Vidor,"Joseph Hergesheimer, King Vidor, Tom Miranda",15498,0,0.0,2011,1920,Passed,541,6.7,"Drama, Romance"
Downhill [When Boys Leave Home],Alfred Hitchcock,"Constance Collier, Ivor Novello, Eliot Stannard",17825,1,0.0,2016,1920,Not Rated,2903,6,"Adventure, Drama, Thriller"
Morocco,Josef von Sternberg,"Jules Furthman, Benno Vigny",21156,1,0.0,2013,1930,Passed,7266,7,"Drama, Romance"
"Public Enemy, The",William A. Wellman,"Kubec Glasmon, John Bright, Harvey F. Thew",22286,3,1.0,2014,1930,Passed,22496,7.6,"Crime, Drama"
"Blue Light (Das Blaue Licht), The","Leni Riefenstahl, Béla Balázs","Béla Balázs, Carl Mayer, Gustav Renker",22694,1,0.0,2016,1930,N/A,1352,6.8,"Drama, Fantasy, Mystery"
Grand Hotel,Edmund Goulding,"Vicki Baum, William Absalom Drake, Béla Balázs",22958,3,0.0,2010,1930,Not Rated,20428,7.3,"Drama, Romance"
Design for Living,Ernst Lubitsch,"Noël Coward, Ben Hecht, Samuel Hoffenstein",23940,1,0.0,2018,1930,Passed,7438,7.4,"Comedy, Mystery, Romance"
Modern Times,Charles Chaplin,Charles Chaplin,27977,0,0.0,2010,1930,G,253191,8.5,"Comedy, Drama, Romance"
Pepe le Moko,Julien Duvivier,"Henri La Barthe, Julien Duvivier, Jacques Constant",29453,2,1.0,2014,1930,Not Rated,7915,7.7,"Crime, Drama, Romance"
"Great Dictator, The",Charles Chaplin,Charles Chaplin,32553,3,0.0,2012,1940,G,232452,8.4,"Comedy, Drama, War"
His Girl Friday,Howard Hawks,"Charles Lederer, Ben Hecht, Charles MacArthur",32599,3,1.0,2012,1940,Passed,61755,7.8,"Comedy, Drama, Romance"
Dumbo,"Samuel Armstrong, Norman Ferguson, Wilfred Jackson","Joe Grant, Dick Huemer, Otto Englander",33563,2,0.0,2010,1940,G,138862,7.2,"Animation, Adventure, Drama"
Ladies In Retirement,Charles Vidor,"Garrett Fort, Reginald Denham, Edward Percy",33802,1,0.0,2015,1940,Approved,1644,7.1,"Crime, Drama, Film-Noir"
China,John Farrow,"John Stuart Dudley, Frank Butler",35735,3,1.0,2018,1940,Approved,598,6.6,"Drama, War"
Millions Like Us,"Sidney Gilliat, Frank Launder","Frank Launder, Sidney Gilliat",36160,3,0.0,2022,1940,Not Rated,989,6.8,"Drama, War"
Sahara,Zoltan Korda,"John Howard Lawson, Zoltan Korda, James O'Hanlon",36323,0,0.0,2011,1940,Approved,9425,7.5,"Action, Drama, War"
Thin Man Goes Home,Richard Thorpe,"Robert Riskin, Dwight Taylor, Harry Kurnitz",37365,2,0.0,2016,1940,Approved,6110,7.3,"Film-Noir, Mystery"
"Bells of St Mary&#39;s, The",Leo McCarey,"Dudley Nichols, Leo McCarey",37536,3,0.0,2022,1940,Unrated,8854,7.2,Drama
